Company_Name,Rating,Review_Count,Industry,Headquarters
Star Union Dai-ichi Life Insurance,3.8,2.4k,Insurance,Mumbai
Daikin Airconditioning India Pvt. Ltd.,4.2,2.4k,Consumer Electronics & Appliances,Neemrana
Sobha,3.8,2.4k,Real Estate,Bengaluru
KocharTech,3.6,2.4k,IT Services & Consulting,Kolkata
BNP Paribas,3.7,2.4k,Banking,Mumbai
Bharat Petroleum,4.2,2.4k,Oil & Gas,Mumbai
Panasonic Life Solutions India,3.9,2.3k,Consumer Electronics & Appliances,Mumbai
Lifestyle,4.2,2.3k,Retail,Bengaluru
AWL Agri Business,4.1,2.3k,FMCG,Ahmedabad
Myntra,3.8,2.3k,Internet,Bengaluru
Eureka Forbes,3.6,2.3k,Consumer Electronics & Appliances,Mumbai
SBI General Insurance,3.5,2.3k,Insurance,Mumbai
Bharti AXA Life Insurance,3.6,2.3k,Insurance,Mumbai
Aditya Birla Group,4.1,2.3k,Metals & Mining,Mumbai
Radisson Hotels,4.0,2.3k,Hospitality,New Delhi
Unacademy,3.0,2.3k,EdTech,Bengaluru
Torrent Power,4.1,2.3k,Power,Ahmedabad
Renault Nissan Technology & Business Centre India,3.6,2.3k,Automobile,Chennai
Meesho,3.7,2.3k,Internet,Bengaluru
Cisco,4.1,2.3k,Hardware & Networking,Bengaluru
Coromandel International,4.0,2.3k,Agro Chemicals,Visakhapatnam
Sify Technologies,3.6,2.3k,IT Services & Consulting,Chennai
ValueLabs,3.4,2.3k,IT Services & Consulting,Hyderabad
Indian Railways,4.2,2.3k,Railways,Kolkata
Bank of Baroda,3.6,2.3k,Banking,Mumbai
Whirlpool,4.0,2.3k,Consumer Electronics & Appliances,Pune
Henry Harvin Education,4.0,2.3k,EdTech,Noida
Manipal Hospitals,4.0,2.2k,Healthcare,Bengaluru
Lava International,3.9,2.2k,Consumer Electronics & Appliances,Noida
Shahi Exports,3.9,2.2k,Fashion & Textile,Bengaluru
Infinite Computer Solutions,3.2,2.2k,IT Services & Consulting,Bengaluru
Allstate,3.7,2.2k,Insurance,Pune
Generali Central Life Insurance,3.5,2.2k,Insurance,Mumbai
Mercedes-Benz Research and Development India,3.5,2.2k,IT Services & Consulting,Bengaluru
Poonawalla Fincorp,3.5,2.2k,NBFC,Pune
Spark Minda,3.7,2.2k,Auto Components,Pune
Saint-Gobain,3.8,2.2k,Building Material,Mumbai
GlaxoSmithKline Pharmaceuticals,4.1,2.2k,Pharma,Bengaluru
Nuvoco Vistas,4.1,2.2k,Building Material,Kolkata
FirstCry,3.5,2.2k,Retail,Pune
Jio Platforms,3.4,2.2k,IT Services & Consulting,Mumbai
CAMS,3.6,2.2k,Financial Services,Chennai
Brakes India,3.8,2.2k,Auto Components,Chennai
Cargill,3.9,2.2k,Food Processing,Bengaluru
Life Insurance Corporation of India,4.4,2.2k,Insurance,Mumbai
NTT DATA Business Solutions,4.1,2.2k,IT Services & Consulting,Bengaluru
Power Mech Projects,3.8,2.2k,Engineering & Construction,Hyderabad
BHEL,4.2,2.2k,Electrical Equipment,Bengaluru
upGrad,3.3,2.2k,EdTech,Bengaluru
Kotak Securities,3.4,2.2k,Financial Services,Mumbai
Nokia Networks,4.1,2.2k,Hardware & Networking,Bengaluru
Microsoft Corporation,3.8,2.2k,Software Product,Bengaluru
Force Motors,3.7,2.2k,Automobile,Pune
